Année,Examen,Code,DREN/DDEN,Catégorie,Genre ,Effectif
2016,BAC,,GRAND­BASSAM,Inscrits,Fille,1485
2016,BAC,,GUIGLO,Inscrits,Fille,459
2016,BAC,,ISSIA,Inscrits,Fille,787
2016,BAC,,KATIOLA,Inscrits,Fille,488
2016,BAC,,KORHOGO,Inscrits,Fille,1826
2016,BAC,,MAN,Inscrits,Fille,1100
2016,BAC,,MANKONO,Inscrits,Fille,169
2016,BAC,,ODIENNE,Inscrits,Fille,360
2016,BAC,,SAN­PEDRO,Inscrits,Fille,1983
2016,BAC,,SASSANDRA,Inscrits,Fille,376
2016,BAC,,SEGUELA,Inscrits,Fille,247
2016,BAC,,SINFRA,Inscrits,Fille,668
2016,BAC,,SOUBRE,Inscrits,Fille,1461
2016,BAC,,TIASSALE,Inscrits,Fille,931
2016,BAC,,TOUBA,Inscrits,Fille,72
2016,BAC,,YAMOUSSOUKRO,Inscrits,Fille,3179
2016,BAC,,ABENGOUROU,Inscrits,Garçon,3201
2016,BAC,,ABIDJAN 1,Inscrits,Garçon,7637
2016,BAC,,ABIDJAN 2,Inscrits,Garçon,8890
2016,BAC,,ABIDJAN 3,Inscrits,Garçon,18152
2016,BAC,,ABIDJAN 4,Inscrits,Garçon,16332
2016,BAC,,ABOISSO,Inscrits,Garçon,1679
2016,BAC,,ADZOPE,Inscrits,Garçon,2526
2016,BAC,,AGBOVILLE,Inscrits,Garçon,1945
2016,BAC,,BONDOUKOU,Inscrits,Garçon,2673
2016,BAC,,BONGOUANOU,Inscrits,Garçon,1851
2016,BAC,,BOUAFLE,Inscrits,Garçon,3200
2016,BAC,,BOUAKE 1,Inscrits,Garçon,2621
2016,BAC,,BOUAKE 2,Inscrits,Garçon,4637
2016,BAC,,BOUNA,Inscrits,Garçon,281
2016,BAC,,BOUNDIALI,Inscrits,Garçon,893
2016,BAC,,DABOU,Inscrits,Garçon,2137
2016,BAC,,DALOA,Inscrits,Garçon,6217
2016,BAC,,DANANE,Inscrits,Garçon,816
2016,BAC,,DAOUKRO,Inscrits,Garçon,1806
2016,BAC,,DIMBOKRO,Inscrits,Garçon,1534
